Comment,Designator,Footprint,LCSC Part #
,JP7,2X03,C65114
,IC2,DIL24-6,
,SV1,FE05-1,
0,R10,603, C21189
0.1uF,C1 C2 C3 C4 C5 C6 C8,402,C1525
0.1uF,C14 C15 C16 C17 C18 C23,603,C14663
1.0uF,C7 C9,402,C52923
1.0uF,C19 C20 C21,805,C28323
1KOHM-0402-1/16W-1%,R3,402, C22790
4.7k,R6 R7 R8 R9,603,C23162
4.7uF,C22 C24 C26,603,C19666
10k,R1 R2,402,C25744
10k,R5,603,C25804
22,R11 R12 R13 R14 R16 R17 R18,402,C25092
4525DO-DS5AI001DP,AIRSPEED,4525DO-DS...P,
B4B-XH-A_LF__SN_,JST_CONNECTION,B4BXHALFSN,C144395
BLM03AG601SN1D,L1 L3 L7,IND_BLM03_0201_MUR, C85811
BMI085,IMU,BMI085, C194919
DPS310XTSA1,BAROMETER,DPS310XTSA1,C130156
ECMF02-4CMX8,USB_COMM_MODE_FILTER,MICRO_QFN-8L_STM,C717678
ECS-TXO-3225MV-400-TR,Y1,ECSTXO3225MV400TR,C253725
LD39050PU33R,POWER_MODULE,SON95P300X300X100-7N,C132827
LL3301FF065QJ,S1 S2,LL3301FF065QJ,C273521
SML-P12VTT86,D1,LED_SML-P11UTT86R,C136765
STM32L412RBT6P,MICROCONTROLLER,QFP50P1200X1200X160-64N,C1339033
STPS1L30A,U$1,DIOM5226X223N,C157388
TPD4F003DQDR,U1,DQD8_1P2X0P4,C398926
