Designator,Mid X,Mid Y,Layer,Rotation
AIRSPEED,58.04,30.48,Top,270.0
BAROMETER,16.89,31.50,Top,90.0
C1,14.48,32.64,Top,90.0
C2,13.21,29.85,Top,90.0
C3,48.90,31.62,Top,180.0
C4,45.09,30.86,Top,270.0
C5,33.02,32.00,Top,270.0
C6,12.45,24.77,Top,270.0
C7,13.84,26.92,Top,90.0
C8, 6.86,29.34,Top,90.0
C9, 5.46,29.46,Top,90.0
C14,34.29,23.24,Top,0.0
C15,28.70,11.81,Top,180.0
C16,27.69,28.07,Top,0.0
C17,17.53,27.81,Top,0.0
C18,14.22,15.62,Top,90.0
C19,34.29,21.34,Top,180.0
C20,12.19,15.49,Top,90.0
C21,32.00,14.73,Top,270.0
C22,16.26,25.27,Top,270.0
C23,38.35,17.53,Top,180.0
C24,46.74,30.23,Top,270.0
C26,12.70,33.02,Top,90.0
D1, 4.45,31.37,Top,180.0
IC2,55.63,11.18,Top,180.0
IMU,39.12,31.12,Top,0.0
JP7,12.70,10.67,Top,0.0
JST_CONNECTION, 5.08,10.67,Top,90.0
L1,32.26,24.13,Top,270.0
L3,37.59,35.81,Top,180.0
L7,11.18,30.73,Top,90.0
MICROCONTROLLER,24.13,19.94,Top,180.0
POWER_MODULE,10.16,27.81,Top,180.0
R1,22.73,29.72,Top,90.0
R2,21.34,32.38,Top,90.0
R3, 4.06,29.34,Top,270.0
R5,28.70, 4.57,Top,270.0
R6,45.72,22.35,Top,90.0
R7,48.01,24.13,Top,270.0
R8,30.73, 8.13,Top,0.0
R9,62.99, 1.02,Top,180.0
R10,45.72,26.16,Top,90.0
R11,34.04,17.27,Top,180.0
R12,38.61,21.34,Top,0.0
R13,40.64,24.89,Top,0.0
R14,42.67,22.86,Top,0.0
R16,28.45,34.80,Top,0.0
R17,64.77,21.84,Top,180.0
R18,31.75,10.41,Top,0.0
S1,23.11, 4.32,Top,180.0
S2,34.54, 3.81,Top,0.0
SV1,68.33,32.26,Top,270.0
U$1, 4.45,23.75,Top,180.0
U1,18.03, 9.91,Top,180.0
USB_COMM_MODE_FILTER,10.16,18.80,Top,0.0
Y1,35.81,13.46,Top,90.0
