Designator,Mid X,Mid Y,Layer,Rotation
AIRSPEED,69.98,24.13,Top,270.0
BAROMETER,34.16,37.34,Top,90.0
C1,31.75,38.48,Top,90.0
C2,30.48,35.69,Top,90.0
C3,60.07,25.02,Top,270.0
C4,62.61,35.18,Top,270.0
C5,50.55,36.07,Top,270.0
C6,24.77,39.88,Top,0.0
C7,20.70,37.59,Top,270.0
C8,24.00,33.02,Top,180.0
C9,23.88,31.37,Top,180.0
C10,52.96, 9.53,Top,90.0
C11,55.12, 9.02,Top,0.0
C12,55.63,10.67,Top,0.0
C13,57.53, 7.62,Top,90.0
C14,51.05,29.08,Top,0.0
C15,45.97,17.65,Top,180.0
C16,45.21,33.91,Top,0.0
C17,34.80,33.66,Top,0.0
C18,31.50,21.46,Top,90.0
C19,51.05,27.18,Top,180.0
C20,29.46,21.34,Top,90.0
C21,49.28,20.57,Top,270.0
C22,33.53,31.12,Top,270.0
C23,59.94,12.70,Top,270.0
C24,64.26,34.29,Top,270.0
C25,15.49,24.13,Top,180.0
C26,29.97,38.86,Top,90.0
C27,55.63,12.70,Top,0.0
C28,14.48,22.35,Top,180.0
C29, 1.52,12.45,Top,90.0
D1,21.21,29.85,Top,0.0
GPS,12.32,12.45,Top,0.0
IMU,56.64,35.18,Top,0.0
JP1,40.13,41.91,Top,0.0
JP2,64.01, 2.54,Top,180.0
JP3,30.73,15.75,Top,270.0
JP4,28.19,31.24,Top,90.0
JP6,22.61, 3.30,Top,0.0
JP7,29.97, 7.11,Top,90.0
JST_CONNECTION, 4.32,37.08,Top,0.0
L1,48.77,30.73,Top,270.0
L2,22.35,12.45,Top,180.0
L3,55.12,39.88,Top,180.0
L4,10.92, 2.29,Top,180.0
L5,22.35,14.22,Top,180.0
L6, 9.14,23.11,Top,180.0
L7,27.69,36.58,Top,90.0
L8,53.09,12.19,Top,180.0
MAGNETOMETER,54.61, 5.33,Top,90.0
MICROCONTROLLER,41.40,25.78,Top,180.0
POWER_MODULE,24.64,36.70,Top,0.0
R1,40.01,35.56,Top,90.0
R2,38.61,38.23,Top,90.0
R3,24.00,29.72,Top,0.0
R4,57.66,17.53,Top,0.0
R5,38.86, 6.86,Top,270.0
R6,57.91,21.08,Top,270.0
R7,57.40,24.64,Top,270.0
R8,50.29, 4.57,Top,180.0
R9,59.94, 9.14,Top,180.0
R10,62.74,30.99,Top,90.0
R11,51.31,23.11,Top,180.0
R12,59.18,27.18,Top,0.0
R13,57.91,30.73,Top,0.0
R14,61.98,27.18,Top,90.0
R16,45.21,38.86,Top,0.0
R17,64.01,13.21,Top,0.0
R18,48.01,15.49,Top,0.0
S1,44.70, 8.89,Top,180.0
S2,70.87, 8.64,Top,0.0
U$1,17.40,36.20,Top,270.0
U1,36.07,10.16,Top,180.0
USB_COMM_MODE_FILTER,13.97,28.96,Top,270.0
Y1,53.09,19.30,Top,90.0
