Comment,Designator,Footprint,LCSC Part #
,JP6,1X03,C180248
,JP2,2X02,C124420
,JP7,2X02,C124420
,JP4,2X03,C718233
,JP5,2X03,C718233
,JP3,2X04,C358726
,JP8,2X04,C358726
,JP1,2X06,C718230
0,R10,603,C21189
0.1uF,C5 C6 C7 C9 C10,402,C107000
1K,R1 R6 R7,RESC2012X60N,C100047
1N5819HW-7-F_1N5819HW-7-F,D1,1N5819HW-7-F_SOD3716X145N,C82544
1u,C1 C4 C12 C23,CAPC2012X95N,C94122
4.7k,R8 R9,603,C23162
4.7u,C39,CAPC2012X145N,C520074
4.7uF,C8 C24,603,C19666
10k,R2 R3,402,C25744
10n,C40,CAPC3216X180N,C107201
22,R11 R12 R13 R14 R16 R17 R18,402,C25092
100n,C25 C26 C27 C28 C29 C30 C31 C32 C33 C34,CAPC3216X180N,C107181
4525DO-DS5AI001DP,AIRSPEED,4525DO-DS...P,
10118192-0001LF,J2,AMPHENOL_10118192-0001LF,C132564
BK1608HS601-T,FB1,BEADC1608X95N,C222675
BLM03AG601SN1D,L3 L7,IND_BLM03_0201_MUR,C85811
BMI085,IMU,BMI085,C194919
DPS310XTSA1,BAR,DPS310XTSA1,C130156
ECS-TXO-3225MV-400-TR,Y1,ECSTXO3225MV400TR,C253725
LD39050PU33R,U2,SON95P300X300X100-7N,C132827
LED_R,U$1 U$3,LED_SML-P11UTT86R,C71911
STM32L412RBT6,IC1,QFP50P1200X1200X160-64N,C1339033
SWITCH-TACT_DTSM-6,S1,SWITCH-TACT_DTSM-6,C483769
