Designator,Mid X,Mid Y,Layer,Rotation
AIRSPEED,-6.99,24.46,Top,90.0
BAR,30.71,12.22,Top,270.0
C1,43.12, 9.63,Top,0.0
C4,35.17, 7.46,Top,180.0
C5, 3.61,27.25,Top,90.0
C6,30.68, 8.76,Top,0.0
C7,33.15,12.42,Top,270.0
C8,31.04, 7.24,Top,0.0
C9, 8.74,14.02,Top,0.0
C10,11.48, 3.48,Top,0.0
C12,14.80,16.50,Top,0.0
C23,17.85,16.49,Top,180.0
C24, 9.02,16.81,Top,0.0
C25,42.52, 7.39,Top,0.0
C26,34.80, 3.95,Top,90.0
C27,21.94,40.19,Top,90.0
C28,37.25,30.74,Top,270.0
C29,21.57,33.75,Top,0.0
C30,34.84,30.76,Top,270.0
C31,31.26,17.86,Top,180.0
C32,21.49,14.67,Top,180.0
C33,15.78,19.66,Top,90.0
C34,18.15,19.64,Top,90.0
C39,20.99,35.89,Top,0.0
C40,13.38,19.70,Top,90.0
D1,43.97, 4.06,Top,0.0
FB1,14.83,14.63,Top,0.0
IC1,26.19,25.74,Top,0.0
IMU, 8.69, 8.94,Top,90.0
J2,46.00,11.11,Top,90.0
JP1,22.99, 3.81,Top,0.0
JP2, 3.18,20.19,Top,270.0
JP3,32.64,45.85,Top,0.0
JP4,45.21,37.34,Top,270.0
JP5,11.56,43.18,Top,180.0
JP6,38.28,16.48,Top,180.0
JP7,21.46,45.85,Top,0.0
JP8,45.34,21.72,Top,270.0
L3, 7.01,13.11,Top,180.0
L7,31.78, 9.98,Top,180.0
R1,38.98,43.34,Top,90.0
R2,30.94,14.99,Top,0.0
R3,26.80,11.94,Top,270.0
R6,35.40, 9.70,Top,180.0
R7,34.41,39.09,Top,270.0
R8, 5.13,33.88,Top,90.0
R9, 3.63,30.30,Top,270.0
R10,-0.43, 8.97,Top,90.0
R11,16.13,27.56,Top,0.0
R12,35.26,26.21,Top,0.0
R13,35.26,24.74,Top,0.0
R14, 4.95,14.10,Top,270.0
R16,10.03, 1.91,Top,180.0
R17,-9.14,35.43,Top,180.0
R18,24.26, 8.38,Top,270.0
S1,28.02,39.29,Top,0.0
U$1,37.89, 9.70,Top,90.0
U$3,36.76,42.28,Top,0.0
U2,38.33, 3.99,Top,270.0
Y1,11.81,29.85,Top,270.0
