Comment,Designator,Footprint,LCSC Part #
,JP6,1X01,
,JP3,1X02,
,JP4,1X03,
,JP2,1X06,
,JP1,1X07,
,JP7,2X03,
0,R10,0603,
0.1uF,C1 C2 C3 C4 C5 C6 C8 C10 C11 C28 C29,0402,
0.1uF,C14 C15 C16 C17 C18 C23,0603,
0.22uF,C13,0603,
1.0uF,C7 C9,0402,
1.0uF,C19 C20 C21,0805,
1KOHM-0402-1/16W-1%,R3,0402,
4.7k,R6 R7 R8 R9,0603,
4.7uF,C22 C24 C25 C26 C27,0603,
10k,R1 R2,0402,
10k,R4 R5,0603,
10uF,C12,0603,
22,R11 R12 R13 R14 R16 R17 R18,0402,
4525DO-DS5AI001DP,AIRSPEED,4525DO-DS...P,
B4B-XH-A_LF__SN_,JST_CONNECTION,B4BXHALFSN,
BLM03AG601SN1D,L1 L2 L3 L4 L5 L6 L7 L8,IND_BLM03_0201_MUR,
BMI085,IMU,BMI085,
DPS310XTSA1,BAROMETER,DPS310XTSA1,
ECMF02-4CMX8,USB_COMM_MODE_FILTER,MICRO_QFN-8L_STM,
ECS-TXO-3225MV-400-TR,Y1,ECSTXO3225MV400TR,
IIS2MDCTR,MAGNETOMETER,IIS2MDCTR,
LD39050PU33R,POWER_MODULE,SON95P300X300X100-7N,
LL3301FF065QJ,S1 S2,LL3301FF065QJ,
SAM-M8Q-0-10,GPS,SAMM8Q010,
SML-P12VTT86,D1,LED_SML-P11UTT86R,
STM32L412RBT6P,MICROCONTROLLER,QFP50P1200X1200X160-64N,
STPS1L30A,U$1,DIOM5226X223N,
TPD4F003DQDR,U1,DQD8_1P2X0P4,
